Survived,Passenger class,Sex,Age,# Sibiling/Spouses Aboard,# Parents/Children Aboard,Fare,Embarked,Family size
1,2,female,2.0,1,1,26.0,Southhampton,2
0,3,male,28.0,0,0,7.23,Cherbourg,0
0,3,male,17.0,1,1,7.23,Cherbourg,2
1,3,female,28.0,0,2,22.36,Cherbourg,2
0,3,female,30.0,0,0,8.66,Southhampton,0
1,2,female,7.0,0,2,26.25,Southhampton,2
0,1,male,45.0,0,0,26.55,Southhampton,0
1,1,female,30.0,0,0,106.42,Cherbourg,0
0,3,male,28.0,0,0,14.5,Southhampton,0
1,1,female,22.0,0,2,49.5,Cherbourg,2
1,1,female,36.0,0,2,71.0,Southhampton,2
0,3,female,9.0,4,2,31.28,Southhampton,6
0,3,female,11.0,4,2,31.28,Southhampton,6
1,2,male,32.0,1,0,26.0,Southhampton,1
0,1,male,50.0,1,0,106.42,Cherbourg,1
0,1,male,64.0,0,0,26.0,Southhampton,0
1,2,female,19.0,1,0,26.0,Southhampton,1
1,2,male,28.0,0,0,13.86,Cherbourg,0
0,3,male,33.0,1,1,20.52,Southhampton,2
1,2,male,8.0,1,1,36.75,Southhampton,2
1,1,male,17.0,0,2,110.88,Cherbourg,2
0,2,male,27.0,0,0,26.0,Southhampton,0
0,3,male,28.0,0,0,7.83,Queenstown,0
1,3,male,22.0,0,0,7.22,Cherbourg,0
1,3,female,22.0,0,0,7.78,Southhampton,0
0,1,male,62.0,0,0,26.55,Southhampton,0
1,1,female,48.0,1,0,39.6,Cherbourg,1
0,1,male,28.0,0,0,227.52,Cherbourg,0
1,1,female,39.0,1,1,79.65,Southhampton,2
1,3,female,36.0,1,0,17.4,Southhampton,1
0,3,male,28.0,0,0,7.75,Queenstown,0
0,3,male,40.0,0,0,7.9,Southhampton,0
0,2,male,28.0,0,0,13.5,Southhampton,0
0,3,male,28.0,0,0,8.05,Southhampton,0
0,3,female,28.0,0,0,8.05,Southhampton,0
0,3,male,24.0,2,0,24.15,Southhampton,2
0,3,male,19.0,0,0,7.9,Southhampton,0
0,3,female,29.0,0,4,21.08,Southhampton,4
0,3,male,28.0,0,0,7.23,Cherbourg,0
1,3,male,32.0,0,0,7.85,Southhampton,0
1,2,male,62.0,0,0,10.5,Southhampton,0
1,1,female,53.0,2,0,51.48,Southhampton,2
1,1,male,36.0,0,0,26.39,Southhampton,0
1,3,female,28.0,0,0,7.75,Queenstown,0
0,3,male,16.0,0,0,8.05,Southhampton,0
0,3,male,19.0,0,0,14.5,Southhampton,0
1,2,female,34.0,0,0,13.0,Southhampton,0
1,1,female,39.0,1,0,55.9,Southhampton,1
0,3,female,28.0,1,0,14.46,Cherbourg,1
1,3,male,32.0,0,0,7.92,Southhampton,0
1,2,female,25.0,1,1,30.0,Southhampton,2
1,1,female,39.0,1,1,110.88,Cherbourg,2
0,2,male,54.0,0,0,26.0,Southhampton,0
0,1,male,36.0,0,0,40.12,Cherbourg,0
0,3,male,28.0,0,0,8.71,Cherbourg,0
1,1,female,18.0,0,2,79.65,Southhampton,2
0,2,male,47.0,0,0,15.0,Southhampton,0
1,1,male,60.0,1,1,79.2,Cherbourg,2
0,3,male,22.0,0,0,8.05,Southhampton,0
0,3,male,28.0,0,0,8.05,Southhampton,0
0,3,male,35.0,0,0,7.12,Southhampton,0
1,1,female,52.0,1,0,78.27,Cherbourg,1
0,3,male,47.0,0,0,7.25,Southhampton,0
0,3,female,28.0,0,2,7.75,Queenstown,2
0,2,male,37.0,1,0,26.0,Southhampton,1
0,3,male,36.0,1,1,24.15,Southhampton,2
1,2,female,28.0,0,0,33.0,Southhampton,0
0,3,male,49.0,0,0,0.0,Southhampton,0
0,3,male,28.0,0,0,7.22,Cherbourg,0
1,1,male,49.0,1,0,56.93,Cherbourg,1
1,2,female,24.0,2,1,27.0,Southhampton,3
0,3,male,28.0,0,0,7.9,Southhampton,0
0,1,male,28.0,0,0,42.4,Southhampton,0
0,3,male,44.0,0,0,8.05,Southhampton,0
1,1,male,35.0,0,0,26.55,Cherbourg,0
0,3,male,36.0,1,0,15.55,Southhampton,1
0,3,male,30.0,0,0,7.9,Southhampton,0
1,1,male,27.0,0,0,30.5,Southhampton,0
1,2,female,22.0,1,2,41.58,Cherbourg,3
1,1,female,40.0,0,0,153.46,Southhampton,0
0,3,female,39.0,1,5,31.28,Southhampton,6
0,3,male,28.0,0,0,7.05,Southhampton,0
1,3,female,28.0,1,0,15.5,Queenstown,1
0,3,male,28.0,0,0,7.75,Queenstown,0
0,3,male,35.0,0,0,8.05,Southhampton,0
1,2,female,24.0,1,2,65.0,Southhampton,3
0,3,male,34.0,1,1,14.4,Southhampton,2
0,3,female,26.0,1,0,16.1,Southhampton,1
1,2,female,4.0,2,1,39.0,Southhampton,3
0,2,male,26.0,0,0,10.5,Southhampton,0
0,3,male,27.0,1,0,14.45,Cherbourg,1
1,1,male,42.0,1,0,52.55,Southhampton,1
1,3,male,20.0,1,1,15.74,Cherbourg,2
0,3,male,21.0,0,0,7.85,Southhampton,0
0,3,male,21.0,0,0,16.1,Southhampton,0
0,1,male,61.0,0,0,32.32,Southhampton,0
0,2,male,57.0,0,0,12.35,Queenstown,0
1,1,female,21.0,0,0,77.96,Southhampton,0
0,3,male,26.0,0,0,7.9,Southhampton,0
0,3,male,28.0,0,0,7.73,Queenstown,0
1,1,male,80.0,0,0,30.0,Southhampton,0
0,3,male,51.0,0,0,7.05,Southhampton,0
1,1,male,32.0,0,0,30.5,Cherbourg,0
0,1,male,28.0,0,0,0.0,Southhampton,0
0,3,female,9.0,3,2,27.9,Southhampton,5
1,2,female,28.0,0,0,13.0,Southhampton,0
0,3,male,32.0,0,0,7.92,Southhampton,0
0,2,male,31.0,1,1,26.25,Southhampton,2
0,3,female,41.0,0,5,39.69,Southhampton,5
0,3,male,28.0,1,0,16.1,Southhampton,1
0,3,male,20.0,0,0,7.85,Southhampton,0
1,1,female,24.0,0,0,69.3,Cherbourg,0
0,3,female,2.0,3,2,27.9,Southhampton,5
1,3,male,28.0,0,0,56.5,Southhampton,0
1,3,female,0.75,2,1,19.26,Cherbourg,3
1,1,male,48.0,1,0,76.73,Cherbourg,1
0,3,male,19.0,0,0,7.9,Southhampton,0
1,1,male,56.0,0,0,35.5,Cherbourg,0
0,3,male,28.0,0,0,7.55,Southhampton,0
1,3,female,23.0,0,0,7.55,Southhampton,0
0,3,male,28.0,0,0,7.9,Southhampton,0
1,2,female,18.0,0,1,23.0,Southhampton,1
0,3,male,21.0,0,0,8.43,Southhampton,0
1,3,female,28.0,0,0,7.83,Queenstown,0
0,3,female,18.0,0,0,6.75,Queenstown,0
0,2,male,24.0,2,0,73.5,Southhampton,2
0,3,male,28.0,0,0,7.9,Southhampton,0
0,3,female,32.0,1,1,15.5,Queenstown,2
0,2,male,23.0,0,0,13.0,Southhampton,0
0,1,male,58.0,0,2,113.28,Cherbourg,2
1,1,male,50.0,2,0,133.65,Southhampton,2
0,3,male,40.0,0,0,7.22,Cherbourg,0
0,1,male,47.0,0,0,25.59,Southhampton,0
0,3,male,36.0,0,0,7.5,Southhampton,0
1,3,male,20.0,1,0,7.92,Southhampton,1
0,2,male,32.0,2,0,73.5,Southhampton,2
0,2,male,25.0,0,0,13.0,Southhampton,0
0,3,male,28.0,0,0,7.78,Southhampton,0
0,3,male,43.0,0,0,8.05,Southhampton,0
1,1,female,28.0,1,0,52.0,Southhampton,1
1,2,female,40.0,1,1,39.0,Southhampton,2
0,1,male,31.0,1,0,52.0,Southhampton,1
0,2,male,70.0,0,0,10.5,Southhampton,0
1,2,male,31.0,0,0,13.0,Southhampton,0
0,2,male,28.0,0,0,0.0,Southhampton,0
0,3,male,18.0,0,0,7.78,Southhampton,0
0,3,male,24.5,0,0,8.05,Southhampton,0
1,3,female,18.0,0,0,9.84,Southhampton,0
0,3,female,43.0,1,6,46.9,Southhampton,7
1,1,male,36.0,0,1,512.33,Cherbourg,1
0,3,female,28.0,0,0,8.14,Queenstown,0
1,1,male,27.0,0,0,76.73,Cherbourg,0
0,3,male,20.0,0,0,9.22,Southhampton,0
0,3,male,14.0,5,2,46.9,Southhampton,7
0,2,male,60.0,1,1,39.0,Southhampton,2
0,2,male,25.0,1,2,41.58,Cherbourg,3
0,3,male,14.0,4,1,39.69,Southhampton,5
0,3,male,19.0,0,0,10.17,Southhampton,0
0,3,male,18.0,0,0,7.8,Southhampton,0
1,1,female,15.0,0,1,211.34,Southhampton,1
1,1,male,31.0,1,0,57.0,Southhampton,1
1,3,female,4.0,0,1,13.42,Cherbourg,1
1,3,male,28.0,0,0,56.5,Southhampton,0
0,3,male,25.0,0,0,7.22,Cherbourg,0
0,1,male,60.0,0,0,26.55,Southhampton,0
0,2,male,52.0,0,0,13.5,Southhampton,0
0,3,male,44.0,0,0,8.05,Southhampton,0
1,3,female,28.0,0,0,7.73,Queenstown,0
0,1,male,49.0,1,1,110.88,Cherbourg,2
0,3,male,42.0,0,0,7.65,Southhampton,0
1,1,female,18.0,1,0,227.52,Cherbourg,1
1,1,male,35.0,0,0,26.29,Southhampton,0
0,3,female,18.0,0,1,14.45,Cherbourg,1
0,3,male,25.0,0,0,7.74,Queenstown,0
0,3,male,26.0,1,0,7.85,Southhampton,1
0,2,male,39.0,0,0,26.0,Southhampton,0
1,2,female,45.0,0,0,13.5,Southhampton,0
1,1,male,42.0,0,0,26.29,Southhampton,0
1,1,female,22.0,0,0,151.55,Southhampton,0
1,3,male,28.0,1,1,15.25,Cherbourg,2
1,1,female,24.0,0,0,49.5,Cherbourg,0
0,1,male,28.0,0,0,26.55,Southhampton,0
1,1,male,48.0,1,0,52.0,Southhampton,1
0,3,male,29.0,0,0,9.48,Southhampton,0
0,2,male,52.0,0,0,13.0,Southhampton,0
0,3,male,19.0,0,0,7.65,Southhampton,0
1,1,female,38.0,0,0,227.52,Cherbourg,0
1,2,female,27.0,0,0,10.5,Southhampton,0
0,3,male,28.0,0,0,15.5,Queenstown,0
0,3,male,33.0,0,0,7.78,Southhampton,0
1,2,female,6.0,0,1,33.0,Southhampton,1
0,3,male,17.0,1,0,7.05,Southhampton,1
0,2,male,34.0,0,0,13.0,Southhampton,0
0,2,male,50.0,0,0,13.0,Southhampton,0
1,1,male,27.0,1,0,53.1,Southhampton,1
0,3,male,20.0,0,0,8.66,Southhampton,0
1,2,female,30.0,3,0,21.0,Southhampton,3
1,3,female,28.0,0,0,7.74,Queenstown,0
0,2,male,25.0,1,0,26.0,Southhampton,1
0,3,female,25.0,1,0,7.92,Southhampton,1
1,1,female,29.0,0,0,211.34,Southhampton,0
0,3,male,11.0,0,0,18.79,Cherbourg,0
0,2,male,28.0,0,0,0.0,Southhampton,0
0,2,male,23.0,0,0,13.0,Southhampton,0
0,2,male,23.0,0,0,13.0,Southhampton,0
0,3,male,28.5,0,0,16.1,Southhampton,0
0,3,female,48.0,1,3,34.38,Southhampton,4
1,1,male,35.0,0,0,512.33,Cherbourg,0
0,3,male,28.0,0,0,7.9,Southhampton,0
0,3,male,28.0,0,0,7.9,Southhampton,0
1,1,male,28.0,0,0,30.0,Southhampton,0
0,1,male,36.0,1,0,78.85,Southhampton,1
1,1,female,21.0,2,2,262.38,Cherbourg,4
0,3,male,24.0,1,0,16.1,Southhampton,1
1,3,male,31.0,0,0,7.92,Southhampton,0
0,1,male,70.0,1,1,71.0,Southhampton,2
0,3,male,16.0,1,1,20.25,Southhampton,2
1,2,female,30.0,0,0,13.0,Southhampton,0
0,1,male,19.0,1,0,53.1,Southhampton,1
0,3,male,31.0,0,0,7.75,Queenstown,0
1,2,female,4.0,1,1,23.0,Southhampton,2
1,3,male,6.0,0,1,12.48,Southhampton,1
0,3,male,33.0,0,0,9.5,Southhampton,0
0,3,male,23.0,0,0,7.9,Southhampton,0
1,2,female,48.0,1,2,65.0,Southhampton,3
1,2,male,0.67,1,1,14.5,Southhampton,2
0,3,male,28.0,0,0,7.8,Southhampton,0
0,2,male,18.0,0,0,11.5,Southhampton,0
0,3,male,34.0,0,0,8.05,Southhampton,0
1,1,female,33.0,0,0,86.5,Southhampton,0
0,3,male,28.0,0,0,14.5,Southhampton,0
0,3,male,41.0,0,0,7.12,Southhampton,0
1,3,male,20.0,0,0,7.23,Cherbourg,0
1,1,female,36.0,1,2,120.0,Southhampton,3
0,3,male,16.0,0,0,7.78,Southhampton,0
1,1,female,51.0,1,0,77.96,Southhampton,1
0,1,male,28.0,0,0,39.6,Cherbourg,0
0,3,female,30.5,0,0,7.75,Queenstown,0
0,3,male,28.0,1,0,24.15,Queenstown,1
0,3,male,32.0,0,0,8.36,Southhampton,0
0,3,male,24.0,0,0,9.5,Southhampton,0
0,3,male,48.0,0,0,7.85,Southhampton,0
0,2,female,57.0,0,0,10.5,Southhampton,0
0,3,male,28.0,0,0,7.22,Cherbourg,0
1,2,female,54.0,1,3,23.0,Southhampton,4
0,3,male,18.0,0,0,7.75,Southhampton,0
0,3,male,28.0,0,0,7.75,Queenstown,0
1,3,female,5.0,0,0,12.48,Southhampton,0
0,3,male,28.0,0,0,7.74,Queenstown,0
1,1,female,43.0,0,1,211.34,Southhampton,1
1,3,female,13.0,0,0,7.23,Cherbourg,0
1,1,female,17.0,1,0,57.0,Southhampton,1
0,1,male,29.0,0,0,30.0,Southhampton,0
0,3,male,28.0,1,2,23.45,Southhampton,3
0,3,male,25.0,0,0,7.05,Southhampton,0
0,3,male,25.0,0,0,7.25,Southhampton,0
1,3,female,18.0,0,0,7.5,Southhampton,0
0,3,male,8.0,4,1,29.12,Queenstown,5
1,3,male,1.0,1,2,20.58,Southhampton,3
0,1,male,46.0,0,0,79.2,Cherbourg,0
0,3,male,28.0,0,0,7.75,Queenstown,0
0,2,male,16.0,0,0,26.0,Southhampton,0
0,3,female,28.0,8,2,69.55,Southhampton,10
0,1,male,28.0,0,0,30.7,Cherbourg,0
0,3,male,25.0,0,0,7.9,Southhampton,0
0,2,male,39.0,0,0,13.0,Southhampton,0
1,1,female,49.0,0,0,25.93,Southhampton,0
1,3,female,31.0,0,0,8.68,Southhampton,0
0,3,male,30.0,0,0,7.23,Cherbourg,0
0,3,female,30.0,1,1,24.15,Southhampton,2
0,2,male,34.0,0,0,13.0,Southhampton,0
1,2,female,31.0,1,1,26.25,Southhampton,2
1,1,male,11.0,1,2,120.0,Southhampton,3
1,3,male,0.42,0,1,8.52,Cherbourg,1
1,3,male,27.0,0,0,6.98,Southhampton,0
0,3,male,31.0,0,0,7.78,Southhampton,0
0,1,male,39.0,0,0,0.0,Southhampton,0
0,3,female,18.0,0,0,7.78,Southhampton,0
0,2,male,39.0,0,0,13.0,Southhampton,0
1,1,female,33.0,1,0,53.1,Southhampton,1
0,3,male,26.0,0,0,7.89,Southhampton,0
0,3,male,39.0,0,0,24.15,Southhampton,0
0,2,male,35.0,0,0,10.5,Southhampton,0
0,3,female,6.0,4,2,31.28,Southhampton,6
0,3,male,30.5,0,0,8.05,Southhampton,0
0,1,male,28.0,0,0,0.0,Southhampton,0
0,3,female,23.0,0,0,7.92,Southhampton,0
0,2,male,31.0,1,1,37.0,Cherbourg,2
0,3,male,43.0,0,0,6.45,Southhampton,0
0,3,male,10.0,3,2,27.9,Southhampton,5
1,1,female,52.0,1,1,93.5,Southhampton,2
1,3,male,27.0,0,0,8.66,Southhampton,0
0,1,male,38.0,0,0,0.0,Southhampton,0
1,3,female,27.0,0,1,12.48,Southhampton,1
0,3,male,2.0,4,1,39.69,Southhampton,5
0,3,male,28.0,0,0,6.95,Queenstown,0
0,3,male,28.0,0,0,56.5,Southhampton,0
1,2,male,1.0,0,2,37.0,Cherbourg,2
1,3,male,28.0,0,0,7.75,Queenstown,0
1,1,female,62.0,0,0,80.0,Southhampton,0
1,3,female,15.0,1,0,14.45,Cherbourg,1
1,2,male,0.83,1,1,18.75,Southhampton,2
0,3,male,28.0,0,0,7.23,Cherbourg,0
0,3,male,23.0,0,0,7.85,Southhampton,0
0,3,male,18.0,0,0,8.3,Southhampton,0
1,1,female,39.0,1,1,83.16,Cherbourg,2
0,3,male,21.0,0,0,8.66,Southhampton,0
0,3,male,28.0,0,0,8.05,Southhampton,0
1,3,male,32.0,0,0,56.5,Southhampton,0
1,1,male,28.0,0,0,29.7,Cherbourg,0
0,3,male,20.0,0,0,7.92,Southhampton,0
0,2,male,16.0,0,0,10.5,Southhampton,0
1,1,female,30.0,0,0,31.0,Cherbourg,0
0,3,male,34.5,0,0,6.44,Cherbourg,0
0,3,male,17.0,0,0,8.66,Southhampton,0
0,3,male,42.0,0,0,7.55,Southhampton,0
0,3,male,28.0,8,2,69.55,Southhampton,10
0,3,male,35.0,0,0,7.9,Cherbourg,0
0,2,male,28.0,0,1,33.0,Southhampton,1
1,1,female,28.0,1,0,89.1,Cherbourg,1
0,3,male,4.0,4,2,31.28,Southhampton,6
0,3,male,74.0,0,0,7.78,Southhampton,0
0,3,female,9.0,1,1,15.25,Cherbourg,2
1,1,female,16.0,0,1,39.4,Southhampton,1
0,2,female,44.0,1,0,26.0,Southhampton,1
1,3,female,18.0,0,1,9.35,Southhampton,1
1,1,female,45.0,1,1,164.87,Southhampton,2
1,1,male,51.0,0,0,26.55,Southhampton,0
1,3,female,24.0,0,3,19.26,Cherbourg,3
0,3,male,28.0,0,0,7.23,Cherbourg,0
0,3,male,41.0,2,0,14.11,Southhampton,2
0,2,male,21.0,1,0,11.5,Southhampton,1
1,1,female,48.0,0,0,25.93,Southhampton,0
0,3,female,28.0,8,2,69.55,Southhampton,10
0,2,male,24.0,0,0,13.0,Southhampton,0
1,2,female,42.0,0,0,13.0,Southhampton,0
1,2,female,27.0,1,0,13.86,Cherbourg,1
0,1,male,31.0,0,0,50.5,Southhampton,0
0,3,male,28.0,0,0,9.5,Southhampton,0
1,3,male,4.0,1,1,11.13,Southhampton,2
0,3,male,26.0,0,0,7.9,Southhampton,0
1,1,female,47.0,1,1,52.55,Southhampton,2
0,1,male,33.0,0,0,5.0,Southhampton,0
0,3,male,47.0,0,0,9.0,Southhampton,0
1,2,female,28.0,1,0,24.0,Cherbourg,1
1,3,female,15.0,0,0,7.22,Cherbourg,0
0,3,male,20.0,0,0,9.85,Southhampton,0
0,3,male,19.0,0,0,7.9,Southhampton,0
0,3,male,28.0,0,0,7.9,Southhampton,0
1,1,female,56.0,0,1,83.16,Cherbourg,1
1,2,female,25.0,0,1,26.0,Southhampton,1
0,3,male,33.0,0,0,7.9,Southhampton,0
0,3,female,22.0,0,0,10.52,Southhampton,0
0,2,male,28.0,0,0,10.5,Southhampton,0
0,3,male,25.0,0,0,7.05,Southhampton,0
0,3,female,39.0,0,5,29.12,Queenstown,5
0,2,male,27.0,0,0,13.0,Southhampton,0
1,1,female,19.0,0,0,30.0,Southhampton,0
0,3,female,28.0,1,2,23.45,Southhampton,3
1,1,male,26.0,0,0,30.0,Cherbourg,0
0,3,male,32.0,0,0,7.75,Queenstown,0
